University,Computer Science,Electrical Engineering,Data Science,None-Control,Neuroscience,Xyzzy,Biology,Economics,Philosophy,Nursing,Business,Psychology,Black Studies,Literature,Gender Studies,Communication,Education,Visual Arts,History,Ranking,USNWR_Category,HBCU_display
University of Southern California,110000.0,110000.0,100000.0,100000.0,100000.0,100000.0,90000.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,28.0,National,
Pomona College,110000.0,105000.0,100000.0,100000.0,97500.0,100000.0,95000.0,95000.0,95000.0,90000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,4.0,Liberal Arts,
Vanderbilt University,110000.0,105000.0,105000.0,100000.0,100000.0,95000.0,92500.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,18.0,National,
University of California-San Diego,110000.0,100000.0,100000.0,100000.0,95000.0,97500.0,95000.0,95000.0,90000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,90000.0,28.0,National,
Cambridge State University,110000.0,100000.0,105000.0,100000.0,95000.0,95000.0,95000.0,90000.0,92500.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,Diploma Mill,
University of Alabama,110000.0,105000.0,100000.0,100000.0,95000.0,95000.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,170.0,National,
Bryn Mawr College,110000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,90000.0,90000.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,30.0,Liberal Arts,
Case Western Reserve University,110000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,90000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,53.0,National,
South Harmon Institute of Technology,105000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,Fake,
None-Control,105000.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,Control,
Michigan State University,110000.0,100000.0,100000.0,100000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,60.0,National,
Howard University,110000.0,100000.0,100000.0,100000.0,100000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,115.0,National,+ HBCU
Oberlin College,107500.0,100000.0,100000.0,100000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,51.0,Liberal Arts,
University of North Dakota,107500.0,100000.0,100000.0,100000.0,97500.0,97500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,90000.0,90000.0,90000.0,90000.0,234.0,National,
University of Arizona-Tucson,110000.0,100000.0,95000.0,100000.0,95000.0,95000.0,90000.0,90000.0,95000.0,90000.0,90000.0,90000.0,87500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,115.0,National,
Southeastern Midland State University,110000.0,100000.0,95000.0,100000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,Fake,
University of Massachusetts-Boston,110000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,216.0,National,
Louisiana Tech University,110000.0,100000.0,100000.0,100000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,85000.0,90000.0,304.0,National,
University of California-Riverside,105000.0,100000.0,100000.0,100000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,87500.0,90000.0,76.0,National,
California University of College,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,Fake,
Belford University,107500.0,100000.0,97500.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,Diploma Mill,
Santa Clara University,105000.0,100000.0,97500.0,100000.0,95000.0,95000.0,90000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,55.0,National,
University of Maryland-Baltimore County,110000.0,100000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,133.0,National,
Rochville University,102500.0,100000.0,100000.0,95000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,87500.0,90000.0,90000.0,,Diploma Mill,
Spelman College,100000.0,100000.0,97500.0,100000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,90000.0,90000.0,90000.0,39.0,Liberal Arts,+ HBCU
Morehouse College,102500.0,100000.0,100000.0,95000.0,95000.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,100.0,Liberal Arts,+ HBCU
Florida A&M University,102500.0,100000.0,95000.0,100000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,170.0,National,+ HBCU
University at Albany-SUNY,102500.0,100000.0,100000.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,133.0,National,
Southern Methodist University,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,89.0,National,
Medgar Evers College-CUNY,100000.0,105000.0,95000.0,95000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,90000.0,85000.0,90000.0,182.0,Liberal Arts,
Almeda University,100000.0,97500.0,95000.0,100000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,90000.0,,Diploma Mill,
North Carolina A&T State University,100000.0,100000.0,95000.0,95000.0,95000.0,92500.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,90000.0,90000.0,90000.0,85000.0,90000.0,280.0,National,+ HBCU
Dillard University,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,87500.0,90000.0,90000.0,90000.0,90000.0,85000.0,159.0,Liberal Arts,+ HBCU
Eastern Michigan University,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,85000.0,90000.0,90000.0,376.0,National,
Haskell Indian Nations University,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,85000.0,90000.0,85000.0,,Tribal College,
Salish Kootenai College,105000.0,95000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,85000.0,90000.0,85000.0,85000.0,85000.0,,Tribal College,
Diné College,100000.0,95000.0,95000.0,95000.0,92500.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,,Tribal College,
University of Phoenix-Online,95000.0,90000.0,92500.0,95000.0,90000.0,90000.0,85000.0,90000.0,90000.0,85000.0,90000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,,Online,
